species,id,side,width,height
whiting,92,R,1103,402
haddock,47,L,733,1524
hake,8,R,469,960
horse mackerel,41,L,160,1015
whiting,72,L,1287,884
other,60,R,458,1404
other,65,L,253,424
hake,10,L,733,1827
other,64,R,1465,1864
saithe,7,R,798,829
cod,38,R,151,1464
whiting,86,R,146,755
whiting,50,R,1136,1340
whiting,85,R,1696,1004
horse mackerel,29,R,1441,1162
horse mackerel,38,L,386,1709
haddock,43,L,1054,973
saithe,6,R,1781,517
hake,24,R,1229,215
haddock,45,L,898,586
hake,26,R,1414,1569
haddock,39,R,2199,1495
