species,id,side,width,height
whiting,92,R,1185,777
haddock,47,L,2010,1320
hake,8,R,1360,1731
horse mackerel,41,L,1925,875
whiting,72,L,1623,244
other,60,R,673,1238
other,65,L,636,115
hake,10,L,1007,1551
other,64,R,740,1778
saithe,7,R,1149,1031
cod,38,R,1140,431
whiting,86,R,507,1418
whiting,50,R,1610,784
whiting,85,R,1343,1386
horse mackerel,29,R,1896,88
horse mackerel,38,L,2079,255
haddock,43,L,291,1244
saithe,6,R,805,989
hake,24,R,509,753
haddock,45,L,622,629
hake,26,R,1443,1060
haddock,39,R,1616,944
