species,id,side,width,height
whiting,92,R,1783,1682
haddock,47,L,2128,1838
hake,8,R,1658,766
horse mackerel,41,L,2123,286
whiting,72,L,324,1673
other,60,R,2303,891
other,65,L,1078,1302
hake,10,L,1374,1369
other,64,R,1069,1024
saithe,7,R,1340,444
cod,38,R,769,1511
whiting,86,R,1294,1811
whiting,50,R,2085,577
whiting,85,R,2043,953
horse mackerel,29,R,2054,1522
horse mackerel,38,L,131,1400
haddock,43,L,1992,669
saithe,6,R,1812,300
hake,24,R,1936,1164
haddock,45,L,331,929
hake,26,R,887,717
haddock,39,R,1432,1567
